Year,Playlist,Song,Artist,Popularity,Explicit,Duration (ms),Album,Release Date,Artist Popularity,Artist Followers,Genres
2024,2024,BIRDS OF A FEATHER,Billie Eilish,100,False,210373,HIT ME HARD AND SOFT,2024-05-17,95,111409970,unknown
2024,2024,Die With A Smile,Lady Gaga,99,False,251667,Die With A Smile,2024-08-16,95,37624980,"art pop, pop"
2024,2024,Espresso,Sabrina Carpenter,90,True,175459,Espresso,2024-04-12,92,22160866,unknown
2024,2024,Not Like Us,Kendrick Lamar,95,True,274192,Not Like Us,2024-05-04,96,40980172,"hip hop, west coast hip hop"
2024,2024,Beautiful Things,Benson Boone,89,False,180304,Beautiful Things,2024-01-18,88,5583847,unknown
2024,2024,we can't be friends (wait for your love),Ariana Grande,82,False,228639,eternal sunshine,2024-03-08,94,105180643,pop
2024,2024,"Good Luck, Babe!",Chappell Roan,95,False,218423,"Good Luck, Babe!",2024-04-05,87,6115520,unknown
2024,2024,Please Please Please,Sabrina Carpenter,86,True,186365,Please Please Please,2024-06-06,92,22160866,unknown
2024,2024,APT.,ROSÉ,95,False,169917,APT.,2024-10-18,85,11282088,k-pop
2024,2024,End of Beginning,Djo,91,False,159245,DECIDE,2022-09-16,78,1995336,psychedelic pop
2024,2024,"yes, and?",Ariana Grande,76,True,214994,"yes, and?",2024-01-12,94,105180643,pop
2024,2024,i like the way you kiss me,Artemas,85,False,142514,i like the way you kiss me,2024-03-19,78,1234854,unknown
2024,2024,Taste,Sabrina Carpenter,81,False,157279,Short n' Sweet,2024-08-23,92,22160866,unknown
2024,2024,Fortnight (feat. Post Malone),Taylor Swift,85,False,228965,THE TORTURED POETS DEPARTMENT,2024-04-18,98,136992819,unknown
2024,2024,FE!N (feat. Playboi Carti),Travis Scott,88,True,191700,UTOPIA,2023-07-28,94,38520527,rap
2024,2024,Lose Control,Teddy Swims,92,False,210688,I've Tried Everything But Therapy (Part 1),2023-09-15,88,4678202,unknown
2024,2024,Stick Season,Noah Kahan,88,False,182346,Stick Season,2022-10-14,86,4077095,unknown
2024,2024,TEXAS HOLD 'EM,Beyoncé,64,True,233456,TEXAS HOLD 'EM,2024-02-10,88,40261468,unknown
2024,2024,I Had Some Help (Feat. Morgan Wallen),Post Malone,85,True,178205,I Had Some Help,2024-05-10,90,46949968,unknown
2024,2024,Too Sweet,Hozier,80,False,251424,Unheard,2024-03-22,86,8750779,unknown
2024,2024,MILLION DOLLAR BABY,Tommy Richman,18,False,155151,MILLION DOLLAR BABY,2024-04-26,76,888381,unknown
2024,2024,LUNCH,Billie Eilish,87,False,179586,HIT ME HARD AND SOFT,2024-05-17,95,111409970,unknown
2024,2024,Gata Only,FloyyMenor,90,True,222000,Gata Only,2024-02-02,82,1761621,reggaeton chileno
2024,2024,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,94,False,244684,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,97,104533739,unknown
2024,2024,Guess featuring billie eilish,Charli xcx,82,False,143330,Guess featuring billie eilish,2024-08-01,88,5467148,"hyperpop, art pop"
2024,2024,HOT TO GO!,Chappell Roan,83,False,184841,The Rise and Fall of a Midwest Princess,2023-09-22,87,6115520,unknown
2024,2024,That’s So True,Gracie Abrams,97,True,166300,The Secret of Us (Deluxe),2024-10-18,89,5605826,unknown
2024,2024,I Can Do It With a Broken Heart,Taylor Swift,83,True,218004,THE TORTURED POETS DEPARTMENT,2024-04-18,98,136992819,unknown
2024,2024,luther (with sza),Kendrick Lamar,94,False,177598,GNX,2024-11-21,96,40980172,"hip hop, west coast hip hop"
2024,2024,Timeless (feat. Playboi Carti),The Weeknd,73,True,256000,Timeless,2024-09-27,97,104533739,unknown
2024,2024,St. Chroma (feat. Daniel Caesar),"Tyler, The Creator",83,True,197019,CHROMAKOPIA,2024-10-28,90,21824779,unknown
2024,2024,Standing Next to You,Jung Kook,85,False,206019,GOLDEN,2023-11-03,83,17559782,k-pop
2024,2024,Who,Jimin,90,False,170887,MUSE,2024-07-19,83,10149192,k-pop
2024,2024,Saturn,SZA,83,False,186191,Saturn,2024-02-22,94,29602474,r&b
2024,2024,WILDFLOWER,Billie Eilish,96,False,261466,HIT ME HARD AND SOFT,2024-05-17,95,111409970,unknown
2024,2024,A Bar Song (Tipsy),Shaboozey,88,True,171291,A Bar Song (Tipsy),2024-04-12,81,1159191,unknown
2024,2024,Praise Jah In The Moonlight,YG Marley,78,False,263040,Praise Jah In The Moonlight,2023-12-27,65,671804,unknown
2024,2024,La Diabla,Xavi,78,False,172264,La Diabla,2023-11-30,79,7796931,"corridos tumbados, corrido, corridos bélicos, sad sierreño, música mexicana, banda"
2024,2024,BELLAKEO,Peso Pluma,77,True,197333,BELLAKEO,2023-12-07,92,21309241,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda, electro corridos"
2024,2024,360,Charli xcx,83,True,133805,BRAT,2024-06-07,88,5467148,"hyperpop, art pop"
2024,2024,CARNIVAL,¥$,23,True,264324,VULTURES 1,2024-02-09,76,987643,unknown
2024,2024,Like That,Future,87,True,267706,WE DON'T TRUST YOU,2024-03-22,93,21339628,rap
2024,2024,redrum,21 Savage,84,True,270697,american dream,2024-01-12,89,22520856,unknown
2024,2024,São Paulo (feat. Anitta),The Weeknd,65,True,301623,São Paulo,2024-10-31,97,104533739,unknown
2024,2024,obsessed,Olivia Rodrigo,79,True,170541,GUTS (spilled),2024-03-22,88,45596541,unknown
2024,2024,the boy is mine,Ariana Grande,84,True,173639,eternal sunshine,2024-03-08,94,105180643,pop
2024,2024,Bed Chem,Sabrina Carpenter,89,False,171869,Short n' Sweet,2024-08-23,92,22160866,unknown
2024,2024,The Emptiness Machine,Linkin Park,83,True,190427,The Emptiness Machine,2024-09-05,91,29884899,"nu metal, rap metal, rock, alternative metal"
2024,2024,Houdini,Eminem,81,True,227239,Houdini,2024-05-31,92,100399353,"rap, hip hop"
2024,2024,Water,Tyla,87,False,200255,Water,2023-07-28,80,2917669,afrobeats
2024,2024,Evergreen,Richy Mitch & The Coal Miners,85,False,87000,RMCM,2017-05-17,71,284606,unknown
2024,2024,CHIHIRO,Billie Eilish,91,False,303440,HIT ME HARD AND SOFT,2024-05-17,95,111409970,unknown
2024,2024,intro (end of the world),Ariana Grande,82,True,92400,eternal sunshine,2024-03-08,94,105180643,pop
2024,2024,"I Love You, I'm Sorry",Gracie Abrams,91,True,157146,The Secret of Us,2024-06-21,89,5605826,unknown
2024,2024,Slow It Down,Benson Boone,73,False,161831,Slow It Down,2024-03-21,88,5583847,unknown
2024,2024,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,81,True,319191,For All The Dogs,2023-10-06,98,98378046,rap
2024,2024,Diet Pepsi,Addison Rae,87,False,169697,Diet Pepsi,2024-08-09,75,869294,unknown
2024,2024,You’re Losing Me (From The Vault),Taylor Swift,78,False,277831,You're Losing Me (From The Vault),2023-11-29,98,136992819,unknown
2024,2024,From The Start,Laufey,84,False,169573,Bewitched,2023-09-08,82,7139814,unknown
2024,2024,Igual Que Un Ángel (with Peso Pluma),Kali Uchis,80,False,260370,ORQUÍDEAS,2024-01-12,87,8793056,unknown
